"Reports", "Relatórios"
"Forecast history", "Histórico de Previsões"
"New forecast", "Nova previsão"
"Page", "Página"
"of %s pages","de %s páginas"
"View", "Visualizar"
"per page","por página"
"Total %d records found","Total %d registros encontrados"
"Reset Filter","Limpar filtro"
"Search", "Buscar"
"New", "Nova"
"Edit", "Editar"
"forecast", "previsão"
"Add New", "Nova previsão"
"Back", "Voltar"
"Sales Forecast", "Previsão de Vendas"
"ID", "ID"
"Created at", "Criado em"
"Updated at", "Atualizado em"
"Store", "Loja"
"Period start", "Início período analisado"
"Period end", "Fim período analisado"
"Forecast day", "Previsão até dia"
"Forecast day", "Previsão até dia"
"Report price", "Preço do relatório"
"Payment status", "Pagamento"
"Open report", "Abrir relatório"
"Report status", "Situação do relatório"
"Forecast details", "Detalhes da previsão"
"Account info", "Informações da conta"
"Forecast for the selected store", "Previsão para a loja selecionada"
"Your email", "Seu e-mail"
"You will be notified by email when the report is ready", "Você será notificado por email quando o relatório estiver pronto"
"Analyse from day", "Início do período analisado"
"Start period of historical data to be analysed", "Início do período de histórico de dados para ser analisado"
"Analyse to day", "Fim do período analisado"
"End period of historical data to be analysed", "Fim do período de histórico de dados para ser analisado"
"Forecast until day", "Previsão até o dia"
"Forecast from today until the selected day", "Previsão de hoje até o dia selecionado"
"Check forecast price", "Solicitar orçamento do relatório"
"Step 1: Check forecast price", "Etapa 1: Solicitar orçamento do relatório"
"Request forecast", "Solicitar relatório de previsão"
"Step 2: Request forecast", "Etapa 2: Solicitar relatório de previsão"
"Click on Step 1: Check forecast price before", "Primeiramente, clique em Etapa 1: Solicitar orçamento do relatório"
"Loading...", "Carregando..."
"Unable to get forecast price", "Não foi possível obter o preço do relatório"
"The payment link will be available", "O link para o pagamento estará disponível"
"when you open your report and in your email.", "quando você abrir o seu relatório e, também, no seu e-mail."
"Try again or", "Tente novamente ou"
"contact us", "entre em contato"
"Could not retrieve account information", "Não foi possível obter as informações da conta"
"Your email is required", "Informe o seu e-mail"
"Your email is invalid", "E-mail inválido"
"Analyse from day is required", "Informe o Início do período analisado"
"Analyse to day is required", "Informe o Fim do período analisado"
"Forecast until day is required", "Informe Previsão até o dia"
"Invalid date format", "Formato da data inválido"
"Invalid date format...", "Formato da data inválido..."
"Analyse from day invalid date", "Data inválida para Início do período analisado"
"Analyse to day invalid date", "Data inválida para Fim do período analisado"
"Analyse from day must be before Analyse to day", "Início do período analisado deve ser anterior ao Fim do período analisado"
"Analyse to day must be in the past", "A data do Fim do período analisado deve estar no passado"
"Forecast until day must be in the future", "A data de Previsão até o dia deve estar no futuro"
"To have a minimum acceptable precision you must:", "Para ter uma precisão mínima aceitável, você deve"
"Select at least", "Selecionar, no mínimo,"
"days of historical data to be analysed.", "dias do histórico de dados para ser analisado."
"See", "Veja"
"how to increase your forecast accuracy", "como aumentar a precisão da sua previsão"
"There is a limit of", "Há um limite de"
"days of historical data that can be analysed.", "dias do histórico de dados que pode ser analisado"
"Please, select a smaller period.", "Por favor, selecione um período menor."
"If you need to analyze more data", "Se você precisa analisar mais dados"
"for a custom service.", "para uma análise personalizada."
"You are willing to analyse", "Você está analisando"
"days", "dias"
"of historical data and to forecast", "do histórico de dados para prever"
"To have a minimum acceptable precision you can:", "Para ter uma precisão mínima aceitável, você pode:"
"Increase the period of historical data to be analysed", "Aumentar o período do histórico de dados para ser analisado"
"Decrease the number of forecast days", "Reduzir o número de dias da previsão"
"Request error", "Erro durante requisição"
"Validating data...", "Validando informações..."
"Validation error", "Erro de validação"
"Collecting, splitting and sending data...", "Coletando, particionando e enviando os dados..."
"Unable to request", "Não foi possível realizar a requisição"
"Your request was successfully received.", "Sua requisição foi enviada com sucesso"
"We will process your data and notify you when everything is done.", "Nós vamos processar os seus dados e, assim que estiver tudo pronto, enviaremos uma notificação por e-mail."
"You can check your report status in Forecast history page.", "Você pode acompanhar a situação do seu relatório na página Histórico de Previsões."
"Error", "Erro"
"Info", "Info"
"Ok!", "Ok!"
"You have a credit of:", "Você tem um crédito de:"
"Forecast original price:", "Preço original do relatório:"
"You will still have<br>a credit of", "Você ainda terá<br>um crédito de"
"Forecast price", "Preço do relatório"
"Forecast final price", "Preço final do relatório"
"Ready to go!", "Solicite o seu relatório!"
"Click here to open your report", "Clique aqui para abrir o seu relatório"
"Request result comparison", "Solicitar comparação com resultado"
"Step 3: Request result", "Etapa 3: Solicitar comparação com resultado"
"receiving data", "recebendo dados"
"requested", "solicitado"
"extracting raw data", "extraindo dados"
"forecast queue", "fila de previsão"
"forecasting", "prevendo dados"
"ready", "pronto"
"request result", "comparar resultado"
"result requested", "comparação solicitada"
"complete", "completo"
"waiting", "aguardando"
"fail", "falhou"
"pending", "pendente"
"succeeded", "finalizado"
"forecast report", "relatório de previsão"
